parameter w(u,v,a)/ 
616.623.18 1,
616.623.19 1,
616.623.20 1,
616.623.21 1,
616.623.22 1,
616.623.23 1,
616.623.24 1,
616.623.25 1,
616.623.26 1,
616.623.27 1,
616.623.28 1,
616.623.29 1,
616.623.30 1,
617.622.1 1,
617.622.2 1,
617.622.3 1,
617.622.4 1,
617.622.5 1,
617.622.6 1,
617.622.7 1,
617.622.8 1,
617.622.9 1,
617.622.10 1,
617.622.11 1,
617.622.12 1,
617.622.13 1,
617.622.14 1,
617.622.15 1,
617.622.16 1,
617.622.17 1,
617.622.18 1,
617.622.19 1,
617.622.20 1,
617.622.21 1,
617.622.22 1,
617.622.23 1,
617.622.24 1,
617.622.25 1,
617.622.26 1,
617.622.27 1,
617.622.28 1,
617.622.29 1,
617.622.30 1,
617.645.1 1,
617.645.2 1,
617.645.3 1,
617.645.4 1,
617.645.5 1,
617.645.6 1,
617.645.7 1,
617.645.8 1,
617.645.9 1,
617.645.10 1,
617.645.11 1,
617.645.12 1,
617.645.13 1,
617.645.14 1,
617.645.15 1,
617.645.16 1,
617.645.17 1,
617.645.18 1,
617.645.19 1,
617.645.20 1,
617.645.21 1,
617.645.22 1,
617.645.23 1,
617.645.24 1,
617.645.25 1,
617.645.26 1,
617.645.27 1,
617.645.28 1,
617.645.29 1,
617.645.30 1,
617.664.1 1,
617.664.2 1,
617.664.3 1,
617.664.4 1,
617.664.5 1,
617.664.6 1,
617.664.7 1,
617.664.8 1,
617.664.9 1,
617.664.10 1,
617.664.11 1,
617.664.12 1,
617.664.13 1,
617.664.14 1,
617.664.15 1,
617.664.16 1,
617.664.17 1,
617.664.18 1,
617.664.19 1,
617.664.20 1,
617.664.21 1,
617.664.22 1,
617.664.23 1,
617.664.24 1,
617.664.25 1,
617.664.26 1,
617.664.27 1,
617.664.28 1,
617.664.29 1,
617.664.30 1,
618.616.1 1,
618.616.2 1,
618.616.3 1,
618.616.4 1,
618.616.5 1,
618.616.6 1,
618.616.7 1,
618.616.8 1,
618.616.9 1,
618.616.10 1,
618.616.11 1,
618.616.12 1,
618.616.13 1,
618.616.14 1,
618.616.15 1,
618.616.16 1,
618.616.17 1,
618.616.18 1,
618.616.19 1,
618.616.20 1,
618.616.21 1,
618.616.22 1,
618.616.23 1,
618.616.24 1,
618.616.25 1,
618.616.26 1,
618.616.27 1,
618.616.28 1,
618.616.29 1,
618.616.30 1,
618.622.1 1,
618.622.2 1,
618.622.3 1,
618.622.4 1,
618.622.5 1,
618.622.6 1,
618.622.7 1,
618.622.8 1,
618.622.9 1,
618.622.10 1,
618.622.11 1,
618.622.12 1,
618.622.13 1,
618.622.14 1,
618.622.15 1,
618.622.16 1,
618.622.17 1,
618.622.18 1,
618.622.19 1,
618.622.20 1,
618.622.21 1,
618.622.22 1,
618.622.23 1,
618.622.24 1,
618.622.25 1,
618.622.26 1,
618.622.27 1,
618.622.28 1,
618.622.29 1,
618.622.30 1,
618.645.1 1,
618.645.2 1,
618.645.3 1,
618.645.4 1,
618.645.5 1,
618.645.6 1,
618.645.7 1,
618.645.8 1,
618.645.9 1,
618.645.10 1,
618.645.11 1,
618.645.12 1,
618.645.13 1,
618.645.14 1,
618.645.15 1,
618.645.16 1,
618.645.17 1,
618.645.18 1,
618.645.19 1,
618.645.20 1,
618.645.21 1,
618.645.22 1,
618.645.23 1,
618.645.24 1,
618.645.25 1,
618.645.26 1,
618.645.27 1,
618.645.28 1,
618.645.29 1,
618.645.30 1,
619.620.1 1,
619.620.2 1,
619.620.3 1,
619.620.4 1,
619.620.5 1,
619.620.6 1,
619.620.7 1,
619.620.8 1,
619.620.9 1,
619.620.10 1,
619.620.11 1,
619.620.12 1,
619.620.13 1,
619.620.14 1,
619.620.15 1,
619.620.16 1,
619.620.17 1,
619.620.18 1,
619.620.19 1,
619.620.20 1,
619.620.21 1,
619.620.22 1,
619.620.23 1,
619.620.24 1,
619.620.25 1,
619.620.26 1,
619.620.27 1,
619.620.28 1,
619.620.29 1,
619.620.30 1,
619.201.1 1,
619.201.2 1,
619.201.3 1,
619.201.4 1,
619.201.5 1,
619.201.6 1,
619.201.7 1,
619.201.8 1,
619.201.9 1,
619.201.10 1,
619.201.11 1,
619.201.12 1,
619.201.13 1,
619.201.14 1,
619.201.15 1,
619.201.16 1,
619.201.17 1,
619.201.18 1,
619.201.19 1,
619.201.20 1,
619.201.21 1,
619.201.22 1,
619.201.23 1,
619.201.24 1,
619.201.25 1,
619.201.26 1,
619.201.27 1,
619.201.28 1,
619.201.29 1,
619.201.30 1,
619.685.1 1,
619.685.2 1,
619.685.3 1,
619.685.4 1,
619.685.5 1,
619.685.6 1,
619.685.7 1,
619.685.8 1,
619.685.9 1,
619.685.10 1,
619.685.11 1,
619.685.12 1,
619.685.13 1,
619.685.14 1,
619.685.15 1,
619.685.16 1,
619.685.17 1,
619.685.18 1,
619.685.19 1,
619.685.20 1,
619.685.21 1,
619.685.22 1,
619.685.23 1,
619.685.24 1,
619.685.25 1,
619.685.26 1,
619.685.27 1,
619.685.28 1,
619.685.29 1,
619.685.30 1,
619.691.1 1,
619.691.2 1,
619.691.3 1,
619.691.4 1,
619.691.5 1,
619.691.6 1,
619.691.7 1,
619.691.8 1,
619.691.9 1,
619.691.10 1,
619.691.11 1,
619.691.12 1,
619.691.13 1,
619.691.14 1,
619.691.15 1,
619.691.16 1,
619.691.17 1,
619.691.18 1,
619.691.19 1,
619.691.20 1,
619.691.21 1,
619.691.22 1,
619.691.23 1,
619.691.24 1,
619.691.25 1,
619.691.26 1,
619.691.27 1,
619.691.28 1,
619.691.29 1,
619.691.30 1,
620.619.1 1,
620.619.2 1,
620.619.3 1,
620.619.4 1,
620.619.5 1,
620.619.6 1,
620.619.7 1,
620.619.8 1,
620.619.9 1,
620.619.10 1,
620.619.11 1,
620.619.12 1,
620.619.13 1,
620.619.14 1,
620.619.15 1,
620.619.16 1,
620.619.17 1,
620.619.18 1,
620.619.19 1,
620.619.20 1,
620.619.21 1,
620.619.22 1,
620.619.23 1,
620.619.24 1,
620.619.25 1,
620.619.26 1,
620.619.27 1,
620.619.28 1,
620.619.29 1,
620.619.30 1,
620.647.1 1,
620.647.2 1,
620.647.3 1,
620.647.4 1,
620.647.5 1,
620.647.6 1,
620.647.7 1,
620.647.8 1,
620.647.9 1,
620.647.10 1,
620.647.11 1,
620.647.12 1,
620.647.13 1,
620.647.14 1,
620.647.15 1,
620.647.16 1,
620.647.17 1,
620.647.18 1,
620.647.19 1,
620.647.20 1,
620.647.21 1,
620.647.22 1,
620.647.23 1,
620.647.24 1,
620.647.25 1,
620.647.26 1,
620.647.27 1,
620.647.28 1,
620.647.29 1,
620.647.30 1,
621.615.1 1,
621.615.2 1,
621.615.3 1,
621.615.4 1,
621.615.5 1,
621.615.6 1,
621.615.7 1,
621.615.8 1,
621.615.9 1,
621.615.10 1,
621.615.11 1,
621.615.12 1,
621.615.13 1,
621.615.14 1,
621.615.15 1,
621.615.16 1,
621.615.17 1,
621.615.18 1,
621.615.19 1,
621.615.20 1,
621.615.21 1,
621.615.22 1,
621.615.23 1,
621.615.24 1,
621.615.25 1,
621.615.26 1,
621.615.27 1,
621.615.28 1,
621.615.29 1,
621.615.30 1,
621.650.1 1,
621.650.2 1,
621.650.3 1,
621.650.4 1,
621.650.5 1,
621.650.6 1,
621.650.7 1,
621.650.8 1,
621.650.9 1,
621.650.10 1,
621.650.11 1,
621.650.12 1,
621.650.13 1,
621.650.14 1,
621.650.15 1,
621.650.16 1,
621.650.17 1,
621.650.18 1,
621.650.19 1,
621.650.20 1,
621.650.21 1,
621.650.22 1,
621.650.23 1,
621.650.24 1,
621.650.25 1,
621.650.26 1,
621.650.27 1,
621.650.28 1,
621.650.29 1,
621.650.30 1,
621.685.1 1,
621.685.2 1,
621.685.3 1,
621.685.4 1,
621.685.5 1,
621.685.6 1,
621.685.7 1,
621.685.8 1,
621.685.9 1,
621.685.10 1,
621.685.11 1,
621.685.12 1,
621.685.13 1,
621.685.14 1,
621.685.15 1,
621.685.16 1,
621.685.17 1,
621.685.18 1,
621.685.19 1,
621.685.20 1,
621.685.21 1,
621.685.22 1,
621.685.23 1,
621.685.24 1,
621.685.25 1,
621.685.26 1,
621.685.27 1,
621.685.28 1,
621.685.29 1,
621.685.30 1,
621.692.1 1,
621.692.2 1,
621.692.3 1,
621.692.4 1,
621.692.5 1,
621.692.6 1,
621.692.7 1,
621.692.8 1,
621.692.9 1,
621.692.10 1,
621.692.11 1,
621.692.12 1,
621.692.13 1,
621.692.14 1,
621.692.15 1,
621.692.16 1,
621.692.17 1,
621.692.18 1,
621.692.19 1,
621.692.20 1,
621.692.21 1,
621.692.22 1,
621.692.23 1,
621.692.24 1,
621.692.25 1,
621.692.26 1,
621.692.27 1,
621.692.28 1,
621.692.29 1,
621.692.30 1,
622.617.1 1,
622.617.2 1,
622.617.3 1,
622.617.4 1,
622.617.5 1,
622.617.6 1,
622.617.7 1,
622.617.8 1,
622.617.9 1,
622.617.10 1,
622.617.11 1,
622.617.12 1,
622.617.13 1,
622.617.14 1,
622.617.15 1,
622.617.16 1,
622.617.17 1,
622.617.18 1,
622.617.19 1,
622.617.20 1,
622.617.21 1,
622.617.22 1,
622.617.23 1,
622.617.24 1,
622.617.25 1,
622.617.26 1,
622.617.27 1,
622.617.28 1,
622.617.29 1,
622.617.30 1,
622.618.1 1,
622.618.2 1,
622.618.3 1,
622.618.4 1,
622.618.5 1,
622.618.6 1,
622.618.7 1,
622.618.8 1,
622.618.9 1,
622.618.10 1,
622.618.11 1,
622.618.12 1,
622.618.13 1,
622.618.14 1,
622.618.15 1,
622.618.16 1,
622.618.17 1,
622.618.18 1,
622.618.19 1,
622.618.20 1,
622.618.21 1,
622.618.22 1,
622.618.23 1,
622.618.24 1,
622.618.25 1,
622.618.26 1,
622.618.27 1,
622.618.28 1,
622.618.29 1,
622.618.30 1,
622.690.1 1,
622.690.2 1,
622.690.3 1,
622.690.4 1,
622.690.5 1,
622.690.6 1,
622.690.7 1,
622.690.8 1,
622.690.9 1,
622.690.10 1,
622.690.11 1,
622.690.12 1,
622.690.13 1,
622.690.14 1,
622.690.15 1,
622.690.16 1,
622.690.17 1,
622.690.18 1,
622.690.19 1,
622.690.20 1,
622.690.21 1,
622.690.22 1,
622.690.23 1,
622.690.24 1,
622.690.25 1,
622.690.26 1,
622.690.27 1,
622.690.28 1,
622.690.29 1,
622.690.30 1,
622.694.1 1,
622.694.2 1,
622.694.3 1,
622.694.4 1,
622.694.5 1,
622.694.6 1,
622.694.7 1,
622.694.8 1,
622.694.9 1,
622.694.10 1,
622.694.11 1,
622.694.12 1,
622.694.13 1,
622.694.14 1,
622.694.15 1,
622.694.16 1,
622.694.17 1,
622.694.18 1,
622.694.19 1,
622.694.20 1,
622.694.21 1,
622.694.22 1,
622.694.23 1,
622.694.24 1,
622.694.25 1,
622.694.26 1,
622.694.27 1,
622.694.28 1,
622.694.29 1,
622.694.30 1,
623.614.1 1,
623.614.2 1,
623.614.3 1,
623.614.4 1,
623.614.5 1,
623.614.6 1,
623.614.7 1,
623.614.8 1,
623.614.9 1,
623.614.10 1,
623.614.11 1,
623.614.12 1,
623.614.13 1,
623.614.14 1,
623.614.15 1,
623.614.16 1,
623.614.17 1,
623.614.18 1,
623.614.19 1,
623.614.20 1,
623.614.21 1,
623.614.22 1,
623.614.23 1,
623.614.24 1,
623.614.25 1,
623.614.26 1,
623.614.27 1,
623.614.28 1,
623.614.29 1,
623.614.30 1,
623.616.1 1,
623.616.2 1,
623.616.3 1,
623.616.4 1,
623.616.5 1,
623.616.6 1,
623.616.7 1,
623.616.8 1,
623.616.9 1,
623.616.10 1,
623.616.11 1,
623.616.12 1,
623.616.13 1,
623.616.14 1,
623.616.15 1,
623.616.16 1,
623.616.17 1,
623.616.18 1,
623.616.19 1,
623.616.20 1,
623.616.21 1,
623.616.22 1,
623.616.23 1,
623.616.24 1,
623.616.25 1,
623.616.26 1,
623.616.27 1,
623.616.28 1,
623.616.29 1,
623.616.30 1,
623.684.1 1,
623.684.2 1,
623.684.3 1,
623.684.4 1,
623.684.5 1,
623.684.6 1,
623.684.7 1,
623.684.8 1,
623.684.9 1,
623.684.10 1,
623.684.11 1,
623.684.12 1,
623.684.13 1,
623.684.14 1,
623.684.15 1,
623.684.16 1,
623.684.17 1,
623.684.18 1,
623.684.19 1,
623.684.20 1,
623.684.21 1,
623.684.22 1,
623.684.23 1,
623.684.24 1,
623.684.25 1,
623.684.26 1,
623.684.27 1,
623.684.28 1,
623.684.29 1,
623.684.30 1,
623.689.1 1,
623.689.2 1,
623.689.3 1,
623.689.4 1,
623.689.5 1,
623.689.6 1,
623.689.7 1,
623.689.8 1,
623.689.9 1,
623.689.10 1,
623.689.11 1,
623.689.12 1,
623.689.13 1,
623.689.14 1,
623.689.15 1,
623.689.16 1,
623.689.17 1,
623.689.18 1,
623.689.19 1,
623.689.20 1,
623.689.21 1,
623.689.22 1,
623.689.23 1,
623.689.24 1,
623.689.25 1,
623.689.26 1,
623.689.27 1,
623.689.28 1,
623.689.29 1,
623.689.30 1,
301.690.1 1,
301.690.2 1,
301.690.3 1,
301.690.4 1,
301.690.5 1,
301.690.6 1,
301.690.7 1,
301.690.8 1,
301.690.9 1,
301.690.10 1,
301.690.11 1,
301.690.12 1,
301.690.13 1,
301.690.14 1,
301.690.15 1,
301.690.16 1,
301.690.17 1,
301.690.18 1,
301.690.19 1,
301.690.20 1,
301.690.21 1,
301.690.22 1,
301.690.23 1,
301.690.24 1,
301.690.25 1,
301.690.26 1,
301.690.27 1,
301.690.28 1,
301.690.29 1,
301.690.30 1,
624.689.1 1,
624.689.2 1,
624.689.3 1,
624.689.4 1,
624.689.5 1,
624.689.6 1,
624.689.7 1,
624.689.8 1,
624.689.9 1,
624.689.10 1,
624.689.11 1,
624.689.12 1,
624.689.13 1,
624.689.14 1,
624.689.15 1,
624.689.16 1,
624.689.17 1,
624.689.18 1,
624.689.19 1,
624.689.20 1,
624.689.21 1,
624.689.22 1,
624.689.23 1,
624.689.24 1,
624.689.25 1,
624.689.26 1,
624.689.27 1,
624.689.28 1,
624.689.29 1,
624.689.30 1,
625.662.1 1,
625.662.2 1,
625.662.3 1,
625.662.4 1,
625.662.5 1,
625.662.6 1,
625.662.7 1,
625.662.8 1,
625.662.9 1,
625.662.10 1,
625.662.11 1,
625.662.12 1,
625.662.13 1,
625.662.14 1,
625.662.15 1,
625.662.16 1,
625.662.17 1,
625.662.18 1,
625.662.19 1,
625.662.20 1,
625.662.21 1,
625.662.22 1,
625.662.23 1,
625.662.24 1,
625.662.25 1,
625.662.26 1,
625.662.27 1,
625.662.28 1,
625.662.29 1,
625.662.30 1,
625.698.1 1,
625.698.2 1,
625.698.3 1,
625.698.4 1,
625.698.5 1,
625.698.6 1,
625.698.7 1,
625.698.8 1,
625.698.9 1,
625.698.10 1,
625.698.11 1,
625.698.12 1,
625.698.13 1,
625.698.14 1,
625.698.15 1,
625.698.16 1,
625.698.17 1,
625.698.18 1,
625.698.19 1,
625.698.20 1,
625.698.21 1,
625.698.22 1,
625.698.23 1,
625.698.24 1,
625.698.25 1,
625.698.26 1,
625.698.27 1,
625.698.28 1,
625.698.29 1,
625.698.30 1,
626.613.1 1,
626.613.2 1,
626.613.3 1,
626.613.4 1,
626.613.5 1,
626.613.6 1,
626.613.7 1,
626.613.8 1,
626.613.9 1,
626.613.10 1,
626.613.11 1,
626.613.12 1,
626.613.13 1,
626.613.14 1,
626.613.15 1,
626.613.16 1,
626.613.17 1,
626.613.18 1,
626.613.19 1,
626.613.20 1,
626.613.21 1,
626.613.22 1,
626.613.23 1,
626.613.24 1,
626.613.25 1,
626.613.26 1,
626.613.27 1,
626.613.28 1,
626.613.29 1,
626.613.30 1,
626.631.1 1,
626.631.2 1,
626.631.3 1,
626.631.4 1,
626.631.5 1,
626.631.6 1,
626.631.7 1,
626.631.8 1,
626.631.9 1,
626.631.10 1,
626.631.11 1,
626.631.12 1,
626.631.13 1,
626.631.14 1,
626.631.15 1,
626.631.16 1,
626.631.17 1,
626.631.18 1,
626.631.19 1,
626.631.20 1,
626.631.21 1,
626.631.22 1,
626.631.23 1,
626.631.24 1,
626.631.25 1,
626.631.26 1,
626.631.27 1,
626.631.28 1,
626.631.29 1,
626.631.30 1,
626.680.1 1,
626.680.2 1,
626.680.3 1,
626.680.4 1,
626.680.5 1,
626.680.6 1,
626.680.7 1,
626.680.8 1,
626.680.9 1,
626.680.10 1,
626.680.11 1,
626.680.12 1,
626.680.13 1,
626.680.14 1,
626.680.15 1,
626.680.16 1,
626.680.17 1,
626.680.18 1,
626.680.19 1,
626.680.20 1,
626.680.21 1,
626.680.22 1,
626.680.23 1,
626.680.24 1,
626.680.25 1,
626.680.26 1,
626.680.27 1,
626.680.28 1,
626.680.29 1,
626.680.30 1,
627.613.1 1,
627.613.2 1,
627.613.3 1,
627.613.4 1,
627.613.5 1,
627.613.6 1,
627.613.7 1,
627.613.8 1,
627.613.9 1,
627.613.10 1,
627.613.11 1,
627.613.12 1,
627.613.13 1,
627.613.14 1,
627.613.15 1,
627.613.16 1,
627.613.17 1,
627.613.18 1,
627.613.19 1,
627.613.20 1,
627.613.21 1,
627.613.22 1,
627.613.23 1,
627.613.24 1,
627.613.25 1,
627.613.26 1,
627.613.27 1,
627.613.28 1,
627.613.29 1,
627.613.30 1,
627.694.1 1,
627.694.2 1,
627.694.3 1,
627.694.4 1,
627.694.5 1,
627.694.6 1,
627.694.7 1,
627.694.8 1,
627.694.9 1,
627.694.10 1,
627.694.11 1,
627.694.12 1,
627.694.13 1,
627.694.14 1,
627.694.15 1,
627.694.16 1,
627.694.17 1,
627.694.18 1,
627.694.19 1,
627.694.20 1,
627.694.21 1,
627.694.22 1,
627.694.23 1,
627.694.24 1,
627.694.25 1,
627.694.26 1,
627.694.27 1,
627.694.28 1,
627.694.29 1,
627.694.30 1,
627.695.1 1,
627.695.2 1,
627.695.3 1,
627.695.4 1,
627.695.5 1,
627.695.6 1,
627.695.7 1,
627.695.8 1,
627.695.9 1,
627.695.10 1,
627.695.11 1,
627.695.12 1,
627.695.13 1,
627.695.14 1,
627.695.15 1,
627.695.16 1,
627.695.17 1,
627.695.18 1,
627.695.19 1,
627.695.20 1,
627.695.21 1,
627.695.22 1,
627.695.23 1,
627.695.24 1,
627.695.25 1,
627.695.26 1,
627.695.27 1,
627.695.28 1,
627.695.29 1,
627.695.30 1,
628.655.1 1,
628.655.2 1,
628.655.3 1,
628.655.4 1,
628.655.5 1,
628.655.6 1,
628.655.7 1,
628.655.8 1,
628.655.9 1,
628.655.10 1,
628.655.11 1,
628.655.12 1,
628.655.13 1,
628.655.14 1,
628.655.15 1,
628.655.16 1,
